PostalCode,Province,search,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M5A,ON,"M5A, ON",43.6542599,-79.36063589999999,Coffee Shop,Bakery,Park,Pub,Café,Breakfast Spot,Theater,Bank,Beer Store,French Restaurant
M1B,ON,"M1B, ON",43.8066863,-79.1943534,Print Shop,Fast Food Restaurant,Zoo,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
M3B,ON,"M3B, ON",43.7459058,-79.352188,Japanese Restaurant,Café,Beer Store,Restaurant,Coffee Shop,Gym,Asian Restaurant,Sporting Goods Shop,Caribbean Restaurant,Chinese Restaurant
M5B,ON,"M5B, ON",43.6560811,-79.3801714,Clothing Store,Coffee Shop,Italian Restaurant,Bubble Tea Shop,Restaurant,Café,Cosmetics Shop,Tea Room,Middle Eastern Restaurant,Diner
M6B,ON,"M6B, ON",43.709577,-79.4450726,Pub,Japanese Restaurant,Sushi Restaurant,Park,Zoo,Fair,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit
M3C,ON,"M3C, ON",43.7258997,-79.34092299999999,Japanese Restaurant,Café,Beer Store,Restaurant,Coffee Shop,Gym,Asian Restaurant,Sporting Goods Shop,Caribbean Restaurant,Chinese Restaurant
M4C,ON,"M4C, ON",43.6953439,-79.3183887,Cosmetics Shop,Spa,Curling Ice,Athletics & Sports,Beer Store,Pharmacy,Skating Rink,Park,Diner,Fair
M6C,ON,"M6C, ON",43.6937813,-79.4281914,Hockey Arena,Tennis Court,Field,Trail,Fair,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
M9C,ON,"M9C, ON",43.6435152,-79.5772008,Cosmetics Shop,Beer Store,Liquor Store,Park,Coffee Shop,Pet Store,Café,Pizza Place,Farmers Market,Farm
M1E,ON,"M1E, ON",43.7635726,-79.1887115,Mexican Restaurant,Rental Car Location,Bank,Moving Target,Intersection,Electronics Store,Medical Center,Breakfast Spot,Financial or Legal Service,Filipino Restaurant
M4E,ON,"M4E, ON",43.6763574,-79.2930312,Pub,Health Food Store,Trail,Zoo,Fair,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit
M5E,ON,"M5E, ON",43.6447708,-79.37330639999999,Coffee Shop,Cocktail Bar,Café,Cheese Shop,Restaurant,Seafood Restaurant,Bakery,Beer Bar,Beach,Japanese Restaurant
